scenario,algorithm,metric_name,mean,std,min,max,replications
limited_resources,astar,services_started_from_arrival,2.1,0.3,2.0,3.0,10
limited_resources,astar,services_started_from_service_end,11.3,0.781,10.0,12.0,10
limited_resources,astar,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
limited_resources,astar,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
limited_resources,astar,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
limited_resources,astar,average_time_to_service_start,90.116,11.0528,72.36,107.38,10
limited_resources,astar,patients_deteriorated_while_waiting,15.7,0.4583,15.0,16.0,10
limited_resources,astar,critical_patients_waited,1.4,1.0198,0.0,3.0,10
limited_resources,astar,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
limited_resources,astar,average_waiting_time,90.116,11.0528,72.36,107.38,10
limited_resources,astar,max_waiting_time,264.0,46.5124,189.0,336.0,10
limited_resources,astar,critical_late_patients,7.0,2.9665,2.0,12.0,10
limited_resources,astar,total_clinical_impact,62810.04,8506.7437,47337.2,74649.0,10
limited_resources,astar,average_resource_utilization,0.3292,0.0053,0.3199,0.337,10
limited_resources,astar,total_doctor_round_time,64.65,1.9096,60.9,66.9,10
limited_resources,astar,number_of_doctor_rounds,30.7,0.4583,30.0,31.0,10
limited_resources,astar,average_doctor_round_duration,2.1069,0.0851,1.9645,2.23,10
limited_resources,astar,total_planning_overhead_time,30.7,0.4583,30.0,31.0,10
limited_resources,cpsat,treated_patients,13.2,0.8718,11.0,14.0,10
limited_resources,cpsat,untreated_patients,4.8,0.8718,4.0,7.0,10
limited_resources,cpsat,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
limited_resources,cpsat,services_started_from_arrival,2.1,0.3,2.0,3.0,10
limited_resources,cpsat,services_started_from_service_end,11.1,0.9434,9.0,12.0,10
limited_resources,cpsat,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
limited_resources,cpsat,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
limited_resources,cpsat,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
limited_resources,cpsat,average_time_to_service_start,129.686,13.6022,101.14,146.08,10
limited_resources,cpsat,patients_deteriorated_while_waiting,15.9,0.3,15.0,16.0,10
limited_resources,cpsat,critical_patients_waited,1.4,1.0198,0.0,3.0,10
limited_resources,cpsat,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
limited_resources,cpsat,average_waiting_time,129.686,13.6022,101.14,146.08,10
limited_resources,cpsat,max_waiting_time,291.1,27.0202,256.0,343.0,10
limited_resources,cpsat,critical_late_patients,7.8,2.8566,2.0,12.0,10
